ID,age,sex,target,emotion,closeness
S052,9.535616438356165,M,emo,sad,5
S052,9.535616438356165,M,fact,happy,6
S052,9.535616438356165,M,emo,happy,5
S053,7.449543378995434,M,fact,sad,5
S053,7.449543378995434,M,emo,sad,5
S053,7.449543378995434,M,fact,happy,4
S053,7.449543378995434,M,emo,happy,6
S054,8.476940639269406,M,fact,sad,5
S054,8.476940639269406,M,emo,sad,3
S054,8.476940639269406,M,fact,happy,1
S054,8.476940639269406,M,emo,happy,2
S055,6.291095890410959,M,fact,sad,3
S055,6.291095890410959,M,emo,sad,2
S055,6.291095890410959,M,fact,happy,6
S055,6.291095890410959,M,emo,happy,5
S056,6.202283105022832,M,fact,sad,5
S056,6.202283105022832,M,emo,sad,6
S056,6.202283105022832,M,fact,happy,6
S056,6.202283105022832,M,emo,happy,6
S057,9.255479452054795,M,fact,sad,4
S057,9.255479452054795,M,emo,sad,3
S057,9.255479452054795,M,fact,happy,3
S057,9.255479452054795,M,emo,happy,4
S058,7.502739726027397,F,fact,sad,5
S058,7.502739726027397,F,emo,sad,5
S058,7.502739726027397,F,fact,happy,5
S058,7.502739726027397,F,emo,happy,5
S059,6.877168949771689,M,fact,sad,6
S059,6.877168949771689,M,emo,sad,6
S059,6.877168949771689,M,fact,happy,6
S059,6.877168949771689,M,emo,happy,6
