,Version,ID,Sex,AgeYears,AgeMonths,AgeDays,Experimenter,Mom_and_Child,Strangers,Friends,character_emotion,Circles_fact_s,Circles_emo_s,Better_Friend_sad,Ice_Cream_sad,Candy_sad,New_Friend_sad,character_emotion.1,Circles_fact_h,Circles_emo_h,Better_Friend_happy,Ice_Cream_happy,Candy_happy,New_Friend_happy,condition,relationship,emotion_shared,answer
91,H,S035,M,9,1,20,Megan,4,6,5,Avery,5,4,1,0,0,1,Riley,4,5,1,0,0,1,happy,Mom,happy,1
92,E,S036,M,6,6,24,Megan,4,6,1,Avery,4,6,0,0,1,1,Riley,1,4,1,0,1,2,happy,Mom,happy,1
93,F,S037,M,8,4,2,Megan,2,6,4,Avery,5,6,1,0,1,1,Riley,5,5,1,0,1,2,happy,Mom,happy,0
94,G,S038,M,8,11,9,Megan,1,6,3,Avery,4,3,1,1,1,2,Riley,4,4,0,0,0,2,happy,Mom,happy,1
95,H,S039,M,7,4,24,Megan,4,6,3,Avery,6,6,1,1,1,2,Riley,6,6,1,1,1,2,happy,Mom,happy,0
96,E,S040,M,6,7,28,Megan,1,6,3,Avery,4,4,1,1,1,1,Riley,4,3,0,0,1,1,happy,Mom,happy,1
97,F,S041,F,8,3,30,Megan,2,6,3,Avery,3,1,1,0,1,1,Riley,2,2,0,0,1,2,happy,Mom,happy,1
98,G,S042,F,9,6,22,Megan,2,6,4,Avery,5,4,1,1,1,2,Riley,5,4,1,1,1,2,happy,Mom,happy,1
99,E,S044,F,9,9,18,Megan,3,6,4,Avery,5,4,1,1,1,2,Riley,4,4,1,1,1,2,happy,Mom,happy,1
100,F,S045,F,7,7,27,Megan,2,6,3,Avery,2,4,0,0,0,1,Riley,3,3,0,0,1,1,happy,Mom,happy,1
101,G,S046,F,8,2,8,Megan,2,6,4,Avery,4,3,1,1,0,2,Riley,5,4,0,0,1,1,happy,Mom,happy,0
102,H,S047,F,8,2,3,Megan,4,6,5,Avery,4,3,1,1,1,2,Riley,4,3,1,1,1,2,happy,Mom,happy,1
103,E,S048,M,9,7,14,Megan,3,6,5,Avery,5,4,1,1,1,2,Riley,5,5,1,0,1,1,happy,Mom,happy,0
104,F,S049,M,7,3,9,Megan,1,6,2,Avery,6,6,0,1,0,1,Riley,4,4,1,0,1,2,happy,Mom,happy,0
105,G,S050,M,7,1,5,Megan,1,6,3,Avery,3,4,1,1,1,1,Riley,3,3,1,1,1,1,happy,Mom,happy,0
106,H,S051,F,9,2,5,Megan,3,4,5,Avery,5,4,1,0,1,1,Riley,4,5,0,1,0,1,happy,Mom,happy,0
107,E,S052,M,9,6,13,Megan,5,6,4,Avery,6,5,1,1,1,2,Riley,6,5,1,1,1,2,happy,Mom,happy,0
108,F,S053,M,7,5,12,Megan,1,6,4,Avery,5,5,1,0,1,1,Riley,4,6,0,1,0,2,happy,Mom,happy,1
109,G,S054,M,8,5,22,Megan,5,6,2,Avery,5,3,1,1,1,2,Riley,1,2,0,0,0,2,happy,Mom,happy,1
110,H,S055,M,6,3,15,Megan,1,2,3,Avery,3,2,1,1,1,1,Riley,6,5,0,1,1,2,happy,Mom,happy,1
111,E,S056,M,6,2,13,Megan,1,6,3,Avery,5,6,0,1,0,1,Riley,6,6,0,0,1,1,happy,Mom,happy,0
112,F,S057,M,9,3,2,Megan,1,6,4,Avery,4,3,1,0,1,2,Riley,3,4,0,1,0,2,happy,Mom,happy,1
113,G,S058,F,7,6,1,Megan,5,6,3,Avery,5,5,0,0,1,2,Riley,5,5,0,0,1,1,happy,Mom,happy,0
114,H,S059,M,6,10,16,Megan,4,6,3,Avery,6,6,1,1,1,1,Riley,6,6,0,0,0,1,happy,Mom,happy,0
115,A,S001,F,8,0,14,Megan,3,6,4,Orin,6,5,1,1,0,2,Cameron,5,5,0,1,0,2,sad,FriendMom,sad,1
116,B,S002,F,8,4,22,Megan,2,6,4,Orin,5,3,1,1,0,2,Cameron,3,5,1,1,0,2,sad,FriendMom,sad,0
117,A,S003,M,7,7,28,Megan,3,6,4,Orin,5,5,1,1,0,1,Cameron,4,5,1,0,1,2,sad,FriendMom,sad,0
118,B,S004,M,6,10,23,Megan,1,6,3,Orin,6,3,1,1,1,1,Cameron,6,3,1,1,1,2,sad,FriendMom,sad,0
119,A,S005,F,9,10,17,Megan,1,6,5,Orin,5,4,1,1,0,1,Cameron,5,4,1,1,0,1,sad,FriendMom,sad,1
120,B,S006,F,7,11,25,Megan,1,6,5,Orin,5,5,1,0,0,1,Cameron,5,4,0,0,0,1,sad,FriendMom,sad,1
121,A,S007,F,7,11,0,Megan,4,6,2,Orin,6,1,1,1,1,2,Cameron,4,2,1,0,1,1,sad,FriendMom,sad,0
122,B,S008,F,8,4,22,Megan,1,6,2,Orin,3,2,1,1,1,2,Cameron,3,2,1,1,1,2,sad,FriendMom,sad,1
123,A,S009,M,9,9,6,Megan,2,6,3,Orin,4,4,1,0,1,1,Cameron,3,4,0,1,0,2,sad,FriendMom,sad,0
