,Version,ID,Sex,AgeYears,AgeMonths,AgeDays,Experimenter,Mom_and_Child,Strangers,Friends,character_emotion,Circles_fact_s,Circles_emo_s,Better_Friend_sad,New_Friend_sad,Mom_sad,FriendMom_sad,character_emotion.1,Circles_fact_h,Circles_emo_h,Better_Friend_happy,New_Friend_happy,Mom_happy,FriendMom_happy,condition,item,emotion_shared,answer
148,H,S035,M,9,1,20,Megan,4,6,5,Avery,5,4,1,1,2,1,Riley,4,5,1,1,2,2,Ice_Cream_happy,Ice,Cream,0
149,E,S036,M,6,6,24,Megan,4,6,1,Avery,4,6,0,1,1,2,Riley,1,4,1,2,2,1,Ice_Cream_happy,Ice,Cream,0
150,F,S037,M,8,4,2,Megan,2,6,4,Avery,5,6,1,1,1,1,Riley,5,5,1,2,1,1,Ice_Cream_happy,Ice,Cream,0
151,G,S038,M,8,11,9,Megan,1,6,3,Avery,4,3,1,2,2,2,Riley,4,4,0,2,2,2,Ice_Cream_happy,Ice,Cream,0
152,H,S039,M,7,4,24,Megan,4,6,3,Avery,6,6,1,2,2,1,Riley,6,6,1,2,1,1,Ice_Cream_happy,Ice,Cream,1
153,E,S040,M,6,7,28,Megan,1,6,3,Avery,4,4,1,1,2,2,Riley,4,3,0,1,2,2,Ice_Cream_happy,Ice,Cream,0
154,F,S041,F,8,3,30,Megan,2,6,3,Avery,3,1,1,1,2,1,Riley,2,2,0,2,2,1,Ice_Cream_happy,Ice,Cream,0
155,G,S042,F,9,6,22,Megan,2,6,4,Avery,5,4,1,2,2,1,Riley,5,4,1,2,2,1,Ice_Cream_happy,Ice,Cream,1
156,E,S044,F,9,9,18,Megan,3,6,4,Avery,5,4,1,2,2,2,Riley,4,4,1,2,2,2,Ice_Cream_happy,Ice,Cream,1
157,F,S045,F,7,7,27,Megan,2,6,3,Avery,2,4,0,1,2,1,Riley,3,3,0,1,2,2,Ice_Cream_happy,Ice,Cream,0
158,G,S046,F,8,2,8,Megan,2,6,4,Avery,4,3,1,2,2,2,Riley,5,4,0,1,1,1,Ice_Cream_happy,Ice,Cream,0
159,H,S047,F,8,2,3,Megan,4,6,5,Avery,4,3,1,2,2,2,Riley,4,3,1,2,2,2,Ice_Cream_happy,Ice,Cream,1
160,E,S048,M,9,7,14,Megan,3,6,5,Avery,5,4,1,2,2,1,Riley,5,5,1,1,1,1,Ice_Cream_happy,Ice,Cream,0
161,F,S049,M,7,3,9,Megan,1,6,2,Avery,6,6,0,1,2,2,Riley,4,4,1,2,1,1,Ice_Cream_happy,Ice,Cream,0
162,G,S050,M,7,1,5,Megan,1,6,3,Avery,3,4,1,1,1,2,Riley,3,3,1,1,1,2,Ice_Cream_happy,Ice,Cream,1
163,H,S051,F,9,2,5,Megan,3,4,5,Avery,5,4,1,1,2,1,Riley,4,5,0,1,1,1,Ice_Cream_happy,Ice,Cream,1
164,E,S052,M,9,6,13,Megan,5,6,4,Avery,6,5,1,2,2,1,Riley,6,5,1,2,1,1,Ice_Cream_happy,Ice,Cream,1
165,F,S053,M,7,5,12,Megan,1,6,4,Avery,5,5,1,1,2,2,Riley,4,6,0,2,2,1,Ice_Cream_happy,Ice,Cream,1
166,G,S054,M,8,5,22,Megan,5,6,2,Avery,5,3,1,2,2,2,Riley,1,2,0,2,2,2,Ice_Cream_happy,Ice,Cream,0
167,H,S055,M,6,3,15,Megan,1,2,3,Avery,3,2,1,1,1,1,Riley,6,5,0,2,2,2,Ice_Cream_happy,Ice,Cream,1
168,E,S056,M,6,2,13,Megan,1,6,3,Avery,5,6,0,1,1,1,Riley,6,6,0,1,1,1,Ice_Cream_happy,Ice,Cream,0
169,F,S057,M,9,3,2,Megan,1,6,4,Avery,4,3,1,2,2,1,Riley,3,4,0,2,2,1,Ice_Cream_happy,Ice,Cream,1
170,G,S058,F,7,6,1,Megan,5,6,3,Avery,5,5,0,2,1,2,Riley,5,5,0,1,1,2,Ice_Cream_happy,Ice,Cream,0
171,H,S059,M,6,10,16,Megan,4,6,3,Avery,6,6,1,1,2,2,Riley,6,6,0,1,1,1,Ice_Cream_happy,Ice,Cream,0
172,A,S001,F,8,0,14,Megan,3,6,4,Orin,6,5,1,2,1,2,Cameron,5,5,0,2,2,1,Candy_happy,Candy,happy,0
173,B,S002,F,8,4,22,Megan,2,6,4,Orin,5,3,1,2,1,1,Cameron,3,5,1,2,1,1,Candy_happy,Candy,happy,0
174,A,S003,M,7,7,28,Megan,3,6,4,Orin,5,5,1,1,2,1,Cameron,4,5,1,2,1,2,Candy_happy,Candy,happy,1
