"","Version","ID","Sex","AgeYears","AgeMonths","AgeDays","Experimenter","Mom_and_Child","Strangers","Friends","character_emotion","Better_Friend_sad","Ice_Cream_sad","Candy_sad","New_Friend_sad","Mom_sad","FriendMom_sad","character_emotion.1","Better_Friend_happy","Ice_Cream_happy","Candy_happy","New_Friend_happy","Mom_happy","FriendMom_happy","condition","answer"
"39","E","S040","M",6,7,28,"Megan",1,6,3,"Avery",1,1,1,1,2,2,"Riley",0,0,1,1,2,2,"Circles_emo_h",3
"40","F","S041","F",8,3,30,"Megan",2,6,3,"Avery",1,0,1,1,2,1,"Riley",0,0,1,2,2,1,"Circles_emo_h",2
"41","G","S042","F",9,6,22,"Megan",2,6,4,"Avery",1,1,1,2,2,1,"Riley",1,1,1,2,2,1,"Circles_emo_h",4
"42","E","S044","F",9,9,18,"Megan",3,6,4,"Avery",1,1,1,2,2,2,"Riley",1,1,1,2,2,2,"Circles_emo_h",4
"43","F","S045","F",7,7,27,"Megan",2,6,3,"Avery",0,0,0,1,2,1,"Riley",0,0,1,1,2,2,"Circles_emo_h",3
"44","G","S046","F",8,2,8,"Megan",2,6,4,"Avery",1,1,0,2,2,2,"Riley",0,0,1,1,1,1,"Circles_emo_h",4
"45","H","S047","F",8,2,3,"Megan",4,6,5,"Avery",1,1,1,2,2,2,"Riley",1,1,1,2,2,2,"Circles_emo_h",3
"46","E","S048","M",9,7,14,"Megan",3,6,5,"Avery",1,1,1,2,2,1,"Riley",1,0,1,1,1,1,"Circles_emo_h",5
"47","F","S049","M",7,3,9,"Megan",1,6,2,"Avery",0,1,0,1,2,2,"Riley",1,0,1,2,1,1,"Circles_emo_h",4
"48","G","S050","M",7,1,5,"Megan",1,6,3,"Avery",1,1,1,1,1,2,"Riley",1,1,1,1,1,2,"Circles_emo_h",3
"49","H","S051","F",9,2,5,"Megan",3,4,5,"Avery",1,0,1,1,2,1,"Riley",0,1,0,1,1,1,"Circles_emo_h",5
"50","E","S052","M",9,6,13,"Megan",5,6,4,"Avery",1,1,1,2,2,1,"Riley",1,1,1,2,1,1,"Circles_emo_h",5
"51","F","S053","M",7,5,12,"Megan",1,6,4,"Avery",1,0,1,1,2,2,"Riley",0,1,0,2,2,1,"Circles_emo_h",6
"52","G","S054","M",8,5,22,"Megan",5,6,2,"Avery",1,1,1,2,2,2,"Riley",0,0,0,2,2,2,"Circles_emo_h",2
"53","H","S055","M",6,3,15,"Megan",1,2,3,"Avery",1,1,1,1,1,1,"Riley",0,1,1,2,2,2,"Circles_emo_h",5
"54","E","S056","M",6,2,13,"Megan",1,6,3,"Avery",0,1,0,1,1,1,"Riley",0,0,1,1,1,1,"Circles_emo_h",6
"55","F","S057","M",9,3,2,"Megan",1,6,4,"Avery",1,0,1,2,2,1,"Riley",0,1,0,2,2,1,"Circles_emo_h",4
"56","G","S058","F",7,6,1,"Megan",5,6,3,"Avery",0,0,1,2,1,2,"Riley",0,0,1,1,1,2,"Circles_emo_h",5
"57","H","S059","M",6,10,16,"Megan",4,6,3,"Avery",1,1,1,1,2,2,"Riley",0,0,0,1,1,1,"Circles_emo_h",6
"58","A","S001","F",8,0,14,"Megan",3,6,4,"Orin",1,1,0,2,1,2,"Cameron",0,1,0,2,2,1,"Circles_emo_s",5
"59","B","S002","F",8,4,22,"Megan",2,6,4,"Orin",1,1,0,2,1,1,"Cameron",1,1,0,2,1,1,"Circles_emo_s",3
"60","A","S003","M",7,7,28,"Megan",3,6,4,"Orin",1,1,0,1,2,1,"Cameron",1,0,1,2,1,2,"Circles_emo_s",5
"61","B","S004","M",6,10,23,"Megan",1,6,3,"Orin",1,1,1,1,2,1,"Cameron",1,1,1,2,2,2,"Circles_emo_s",3
"62","A","S005","F",9,10,17,"Megan",1,6,5,"Orin",1,1,0,1,2,2,"Cameron",1,1,0,1,2,2,"Circles_emo_s",4
"63","B","S006","F",7,11,25,"Megan",1,6,5,"Orin",1,0,0,1,2,2,"Cameron",0,0,0,1,2,1,"Circles_emo_s",5
"64","A","S007","F",7,11,0,"Megan",4,6,2,"Orin",1,1,1,2,2,1,"Cameron",1,0,1,1,2,2,"Circles_emo_s",1
"65","B","S008","F",8,4,22,"Megan",1,6,2,"Orin",1,1,1,2,2,2,"Cameron",1,1,1,2,2,2,"Circles_emo_s",2
"66","A","S009","M",9,9,6,"Megan",2,6,3,"Orin",1,0,1,1,2,1,"Cameron",0,1,0,2,1,1,"Circles_emo_s",4
"67","B","S010","F",8,1,5,"Megan",4,6,5,"Orin",0,0,1,1,2,1,"Cameron",1,0,0,2,1,2,"Circles_emo_s",5
"68","A","S011","M",7,1,9,"Megan",2,5,3,"Orin",0,0,0,2,2,1,"Cameron",1,1,0,2,1,1,"Circles_emo_s",4
"69","B","S012","M",8,5,21,"Megan",1,6,4,"Orin",1,1,0,2,1,1,"Cameron",1,1,0,2,1,1,"Circles_emo_s",1
"70","C","S013","M",6,7,2,"Megan",4,6,3,"Orin",1,0,1,1,2,1,"Cameron",1,0,1,1,2,1,"Circles_emo_s",4
"71","D","S014","M",6,9,12,"Megan",4,6,1,"Orin",1,1,1,2,1,2,"Cameron",0,0,0,2,2,2,"Circles_emo_s",6
"72","C","S015","M",8,8,5,"Megan",3,6,4,"Orin",1,1,0,2,2,1,"Cameron",1,1,0,1,1,2,"Circles_emo_s",4
"73","D","S016","M",7,2,10,"Megan",1,6,5,"Orin",0,1,0,2,2,2,"Cameron",0,0,0,1,1,2,"Circles_emo_s",5
"74","C","S017","M",6,8,2,"Megan",5,6,2,"Orin",1,1,0,2,2,1,"Cameron",0,0,1,2,2,1,"Circles_emo_s",6
"75","D","S018","M",8,1,26,"Megan",1,6,4,"Orin",1,1,1,1,2,1,"Cameron",1,1,1,2,2,1,"Circles_emo_s",4
"76","C","S019","M",7,6,4,"Megan",3,6,1,"Orin",0,1,1,2,2,1,"Cameron",0,1,0,2,2,2,"Circles_emo_s",6
"77","D","S020","F",9,1,12,"Megan",4,6,1,"Orin",1,1,0,2,2,2,"Cameron",0,0,1,1,2,1,"Circles_emo_s",2
"78","C","S021","F",6,5,9,"Megan",6,4,5,"Orin",1,1,0,1,2,1,"Cameron",0,1,0,2,1,2,"Circles_emo_s",4
"79","D","S022","F",6,5,9,"Megan",1,6,5,"Orin",0,0,0,1,1,1,"Cameron",0,0,0,1,1,2,"Circles_emo_s",6
"80","C","S023","M",7,2,14,"Megan",2,6,5,"Orin",1,1,0,2,2,1,"Cameron",1,0,1,1,2,2,"Circles_emo_s",6
"81","D","S024","F",6,9,12,"Megan",1,6,5,"Orin",1,1,1,1,2,1,"Cameron",0,0,0,2,2,1,"Circles_emo_s",4
"82","A","S025","F",7,10,7,"Megan",3,6,2,"Orin",1,1,0,2,2,1,"Cameron",0,1,0,1,2,1,"Circles_emo_s",2
"83","B","S026","M",6,0,15,"Megan",6,5,4,"Orin",0,0,0,1,1,1,"Cameron",0,1,0,2,1,2,"Circles_emo_s",2
"84","C","S027","M",6,11,15,"Megan",4,6,1,"Orin",1,1,1,1,2,2,"Cameron",0,0,0,2,2,2,"Circles_emo_s",5
"85","D","S028","F",7,6,27,"Megan",1,6,3,"Orin",0,1,0,1,2,1,"Cameron",0,0,0,2,1,2,"Circles_emo_s",5
"86","A","S029","M",6,5,20,"Megan",4,6,5,"Orin",1,1,1,2,1,2,"Cameron",1,1,0,1,1,1,"Circles_emo_s",6
"87","B","S030","M",7,1,26,"Megan",3,6,5,"Orin",0,1,1,2,2,1,"Cameron",0,1,1,2,1,2,"Circles_emo_s",5
"88","C","S031","M",7,6,29,"Megan",4,6,3,"Orin",1,0,1,1,2,1,"Cameron",1,0,1,1,1,1,"Circles_emo_s",5
"89","E","S032","M",8,11,11,"Megan",6,6,1,"Avery",1,1,0,1,1,1,"Riley",1,1,1,1,2,1,"Circles_emo_s",2
"90","G","S034","M",7,1,21,"Megan",1,6,3,"Avery",1,1,1,2,2,2,"Riley",1,1,1,1,2,2,"Circles_emo_s",2
"91","H","S035","M",9,1,20,"Megan",4,6,5,"Avery",1,0,0,1,2,1,"Riley",1,0,0,1,2,2,"Circles_emo_s",4
"92","E","S036","M",6,6,24,"Megan",4,6,1,"Avery",0,0,1,1,1,2,"Riley",1,0,1,2,2,1,"Circles_emo_s",6
"93","F","S037","M",8,4,2,"Megan",2,6,4,"Avery",1,0,1,1,1,1,"Riley",1,0,1,2,1,1,"Circles_emo_s",6
"94","G","S038","M",8,11,9,"Megan",1,6,3,"Avery",1,1,1,2,2,2,"Riley",0,0,0,2,2,2,"Circles_emo_s",3
"95","H","S039","M",7,4,24,"Megan",4,6,3,"Avery",1,1,1,2,2,1,"Riley",1,1,1,2,1,1,"Circles_emo_s",6
"96","E","S040","M",6,7,28,"Megan",1,6,3,"Avery",1,1,1,1,2,2,"Riley",0,0,1,1,2,2,"Circles_emo_s",4
"97","F","S041","F",8,3,30,"Megan",2,6,3,"Avery",1,0,1,1,2,1,"Riley",0,0,1,2,2,1,"Circles_emo_s",1
"98","G","S042","F",9,6,22,"Megan",2,6,4,"Avery",1,1,1,2,2,1,"Riley",1,1,1,2,2,1,"Circles_emo_s",4
"99","E","S044","F",9,9,18,"Megan",3,6,4,"Avery",1,1,1,2,2,2,"Riley",1,1,1,2,2,2,"Circles_emo_s",4
"100","F","S045","F",7,7,27,"Megan",2,6,3,"Avery",0,0,0,1,2,1,"Riley",0,0,1,1,2,2,"Circles_emo_s",4
"101","G","S046","F",8,2,8,"Megan",2,6,4,"Avery",1,1,0,2,2,2,"Riley",0,0,1,1,1,1,"Circles_emo_s",3
"102","H","S047","F",8,2,3,"Megan",4,6,5,"Avery",1,1,1,2,2,2,"Riley",1,1,1,2,2,2,"Circles_emo_s",3
"103","E","S048","M",9,7,14,"Megan",3,6,5,"Avery",1,1,1,2,2,1,"Riley",1,0,1,1,1,1,"Circles_emo_s",4
"104","F","S049","M",7,3,9,"Megan",1,6,2,"Avery",0,1,0,1,2,2,"Riley",1,0,1,2,1,1,"Circles_emo_s",6
"105","G","S050","M",7,1,5,"Megan",1,6,3,"Avery",1,1,1,1,1,2,"Riley",1,1,1,1,1,2,"Circles_emo_s",4
"106","H","S051","F",9,2,5,"Megan",3,4,5,"Avery",1,0,1,1,2,1,"Riley",0,1,0,1,1,1,"Circles_emo_s",4
"107","E","S052","M",9,6,13,"Megan",5,6,4,"Avery",1,1,1,2,2,1,"Riley",1,1,1,2,1,1,"Circles_emo_s",5
"108","F","S053","M",7,5,12,"Megan",1,6,4,"Avery",1,0,1,1,2,2,"Riley",0,1,0,2,2,1,"Circles_emo_s",5
"109","G","S054","M",8,5,22,"Megan",5,6,2,"Avery",1,1,1,2,2,2,"Riley",0,0,0,2,2,2,"Circles_emo_s",3
"110","H","S055","M",6,3,15,"Megan",1,2,3,"Avery",1,1,1,1,1,1,"Riley",0,1,1,2,2,2,"Circles_emo_s",2
