"","Version","ID","Sex","AgeYears","AgeMonths","AgeDays","Experimenter","character_emotion","Circles_fact_s","Circles_emo_s","Better_Friend_sad","Ice_Cream_sad","Candy_sad","New_Friend_sad","Mom_sad","FriendMom_sad","character_emotion.1","Circles_fact_h","Circles_emo_h","Better_Friend_happy","Ice_Cream_happy","Candy_happy","New_Friend_happy","Mom_happy","FriendMom_happy","answer","Strangers"
"67","B","S010","F",8,1,5,"Megan","Orin",5,5,0,0,1,1,2,1,"Cameron",5,5,1,0,0,2,1,2,"Mom_and_Child",4
"68","A","S011","M",7,1,9,"Megan","Orin",2,4,0,0,0,2,2,1,"Cameron",4,3,1,1,0,2,1,1,"Mom_and_Child",2
"69","B","S012","M",8,5,21,"Megan","Orin",4,1,1,1,0,2,1,1,"Cameron",3,1,1,1,0,2,1,1,"Mom_and_Child",1
"70","C","S013","M",6,7,2,"Megan","Orin",4,4,1,0,1,1,2,1,"Cameron",4,4,1,0,1,1,2,1,"Mom_and_Child",4
"71","D","S014","M",6,9,12,"Megan","Orin",6,6,1,1,1,2,1,2,"Cameron",6,6,0,0,0,2,2,2,"Mom_and_Child",4
"72","C","S015","M",8,8,5,"Megan","Orin",4,4,1,1,0,2,2,1,"Cameron",5,4,1,1,0,1,1,2,"Mom_and_Child",3
"73","D","S016","M",7,2,10,"Megan","Orin",6,5,0,1,0,2,2,2,"Cameron",4,5,0,0,0,1,1,2,"Mom_and_Child",1
"74","C","S017","M",6,8,2,"Megan","Orin",6,6,1,1,0,2,2,1,"Cameron",5,6,0,0,1,2,2,1,"Mom_and_Child",5
"75","D","S018","M",8,1,26,"Megan","Orin",5,4,1,1,1,1,2,1,"Cameron",4,5,1,1,1,2,2,1,"Mom_and_Child",1
"76","C","S019","M",7,6,4,"Megan","Orin",4,6,0,1,1,2,2,1,"Cameron",1,1,0,1,0,2,2,2,"Mom_and_Child",3
