ID,population,age,sex,measure,emotion,chose_emotion
S029,child,6.471461187214612,M,better_friend,sad,1
S029,child,6.471461187214612,M,candy,happy,0
S029,child,6.471461187214612,M,candy,sad,1
S029,child,6.471461187214612,M,ice_cream,happy,1
S029,child,6.471461187214612,M,ice_cream,sad,1
S030,child,7.154566210045662,M,better_friend,happy,0
S030,child,7.154566210045662,M,better_friend,sad,0
S030,child,7.154566210045662,M,candy,happy,1
S030,child,7.154566210045662,M,candy,sad,1
S030,child,7.154566210045662,M,ice_cream,happy,1
S030,child,7.154566210045662,M,ice_cream,sad,1
S031,child,7.579452054794521,M,better_friend,happy,1
S031,child,7.579452054794521,M,better_friend,sad,1
S031,child,7.579452054794521,M,candy,happy,1
S031,child,7.579452054794521,M,candy,sad,1
S031,child,7.579452054794521,M,ice_cream,happy,0
S031,child,7.579452054794521,M,ice_cream,sad,0
S032,child,8.946803652968036,M,better_friend,happy,1
S032,child,8.946803652968036,M,better_friend,sad,1
S032,child,8.946803652968036,M,candy,happy,1
S032,child,8.946803652968036,M,candy,sad,0
S032,child,8.946803652968036,M,ice_cream,happy,1
S032,child,8.946803652968036,M,ice_cream,sad,1
S034,child,7.140867579908676,M,better_friend,happy,1
S034,child,7.140867579908676,M,better_friend,sad,1
S034,child,7.140867579908676,M,candy,happy,1
S034,child,7.140867579908676,M,candy,sad,1
S034,child,7.140867579908676,M,ice_cream,happy,1
S034,child,7.140867579908676,M,ice_cream,sad,1
S035,child,9.13812785388128,M,better_friend,happy,1
S035,child,9.13812785388128,M,better_friend,sad,1
S035,child,9.13812785388128,M,candy,happy,0
S035,child,9.13812785388128,M,candy,sad,0
S035,child,9.13812785388128,M,ice_cream,happy,0
S035,child,9.13812785388128,M,ice_cream,sad,0
S036,child,6.565753424657534,M,better_friend,happy,1
S036,child,6.565753424657534,M,better_friend,sad,0
S036,child,6.565753424657534,M,candy,happy,1
S036,child,6.565753424657534,M,candy,sad,1
S036,child,6.565753424657534,M,ice_cream,happy,0
S036,child,6.565753424657534,M,ice_cream,sad,0
S037,child,8.338812785388129,M,better_friend,happy,1
S037,child,8.338812785388129,M,better_friend,sad,1
S037,child,8.338812785388129,M,candy,happy,1
S037,child,8.338812785388129,M,candy,sad,1
S037,child,8.338812785388129,M,ice_cream,happy,0
S037,child,8.338812785388129,M,ice_cream,sad,0
S038,child,8.941324200913241,M,better_friend,happy,0
S038,child,8.941324200913241,M,better_friend,sad,1
S038,child,8.941324200913241,M,candy,happy,0
S038,child,8.941324200913241,M,candy,sad,1
S038,child,8.941324200913241,M,ice_cream,happy,0
S038,child,8.941324200913241,M,ice_cream,sad,1
S039,child,7.399086757990867,M,better_friend,happy,1
S039,child,7.399086757990867,M,better_friend,sad,1
S039,child,7.399086757990867,M,candy,happy,1
S039,child,7.399086757990867,M,candy,sad,1
S039,child,7.399086757990867,M,ice_cream,happy,1
S039,child,7.399086757990867,M,ice_cream,sad,1
S040,child,6.6600456621004565,M,better_friend,happy,0
S040,child,6.6600456621004565,M,better_friend,sad,1
S040,child,6.6600456621004565,M,candy,happy,1
S040,child,6.6600456621004565,M,candy,sad,1
S040,child,6.6600456621004565,M,ice_cream,happy,0
S040,child,6.6600456621004565,M,ice_cream,sad,1
S041,child,8.332191780821917,F,better_friend,happy,0
S041,child,8.332191780821917,F,better_friend,sad,1
S041,child,8.332191780821917,F,candy,happy,1
S041,child,8.332191780821917,F,candy,sad,1
S041,child,8.332191780821917,F,ice_cream,happy,0
S041,child,8.332191780821917,F,ice_cream,sad,0
S042,child,9.56027397260274,F,better_friend,happy,1
S042,child,9.56027397260274,F,better_friend,sad,1
S042,child,9.56027397260274,F,candy,happy,1
S042,child,9.56027397260274,F,candy,sad,1
S042,child,9.56027397260274,F,ice_cream,happy,1
S042,child,9.56027397260274,F,ice_cream,sad,1
S044,child,9.79931506849315,F,better_friend,happy,1
S044,child,9.79931506849315,F,better_friend,sad,1
S044,child,9.79931506849315,F,candy,happy,1
S044,child,9.79931506849315,F,candy,sad,1
S044,child,9.79931506849315,F,ice_cream,happy,1
S044,child,9.79931506849315,F,ice_cream,sad,1
S045,child,7.657305936073059,F,better_friend,happy,0
S045,child,7.657305936073059,F,better_friend,sad,0
S045,child,7.657305936073059,F,candy,happy,1
S045,child,7.657305936073059,F,candy,sad,0
S045,child,7.657305936073059,F,ice_cream,happy,0
S045,child,7.657305936073059,F,ice_cream,sad,0
S046,child,8.188584474885845,F,better_friend,happy,0
S046,child,8.188584474885845,F,better_friend,sad,1
S046,child,8.188584474885845,F,candy,happy,1
S046,child,8.188584474885845,F,candy,sad,0
S046,child,8.188584474885845,F,ice_cream,happy,0
S046,child,8.188584474885845,F,ice_cream,sad,1
S047,child,8.174885844748857,F,better_friend,happy,1
S047,child,8.174885844748857,F,better_friend,sad,1
S047,child,8.174885844748857,F,candy,happy,1
S047,child,8.174885844748857,F,candy,sad,1
S047,child,8.174885844748857,F,ice_cream,happy,1
S047,child,8.174885844748857,F,ice_cream,sad,1
S048,child,9.621689497716895,M,better_friend,happy,1
S048,child,9.621689497716895,M,better_friend,sad,1
S048,child,9.621689497716895,M,candy,happy,1
S048,child,9.621689497716895,M,candy,sad,1
S048,child,9.621689497716895,M,ice_cream,happy,0
S048,child,9.621689497716895,M,ice_cream,sad,1
S049,child,7.274657534246575,M,better_friend,happy,1
S049,child,7.274657534246575,M,better_friend,sad,0
S049,child,7.274657534246575,M,candy,happy,1
S049,child,7.274657534246575,M,candy,sad,0
S049,child,7.274657534246575,M,ice_cream,happy,0
S049,child,7.274657534246575,M,ice_cream,sad,1
S050,child,7.097031963470319,M,better_friend,happy,1
S050,child,7.097031963470319,M,better_friend,sad,1
S050,child,7.097031963470319,M,candy,happy,1
S050,child,7.097031963470319,M,candy,sad,1
S050,child,7.097031963470319,M,ice_cream,happy,1
S050,child,7.097031963470319,M,ice_cream,sad,1
S051,child,9.180365296803652,F,better_friend,happy,0
S051,child,9.180365296803652,F,better_friend,sad,1
S051,child,9.180365296803652,F,candy,happy,0
S051,child,9.180365296803652,F,candy,sad,1
S051,child,9.180365296803652,F,ice_cream,happy,1
S051,child,9.180365296803652,F,ice_cream,sad,0
S052,child,9.535616438356165,M,better_friend,happy,1
S052,child,9.535616438356165,M,better_friend,sad,1
S052,child,9.535616438356165,M,candy,happy,1
S052,child,9.535616438356165,M,candy,sad,1
S052,child,9.535616438356165,M,ice_cream,happy,1
S052,child,9.535616438356165,M,ice_cream,sad,1
S053,child,7.449543378995434,M,better_friend,happy,0
S053,child,7.449543378995434,M,better_friend,sad,1
S053,child,7.449543378995434,M,candy,happy,0
S053,child,7.449543378995434,M,candy,sad,1
S053,child,7.449543378995434,M,ice_cream,happy,1
S053,child,7.449543378995434,M,ice_cream,sad,0
S054,child,8.476940639269406,M,better_friend,happy,0
S054,child,8.476940639269406,M,better_friend,sad,1
S054,child,8.476940639269406,M,candy,happy,0
S054,child,8.476940639269406,M,candy,sad,1
S054,child,8.476940639269406,M,ice_cream,happy,0
S054,child,8.476940639269406,M,ice_cream,sad,1
S055,child,6.291095890410959,M,better_friend,happy,0
S055,child,6.291095890410959,M,better_friend,sad,1
S055,child,6.291095890410959,M,candy,happy,1
S055,child,6.291095890410959,M,candy,sad,1
S055,child,6.291095890410959,M,ice_cream,happy,1
S055,child,6.291095890410959,M,ice_cream,sad,1
S056,child,6.202283105022832,M,better_friend,happy,0
S056,child,6.202283105022832,M,better_friend,sad,0
S056,child,6.202283105022832,M,candy,happy,1
S056,child,6.202283105022832,M,candy,sad,0
S056,child,6.202283105022832,M,ice_cream,happy,0
S056,child,6.202283105022832,M,ice_cream,sad,1
S057,child,9.255479452054795,M,better_friend,happy,0
S057,child,9.255479452054795,M,better_friend,sad,1
S057,child,9.255479452054795,M,candy,happy,0
S057,child,9.255479452054795,M,candy,sad,1
S057,child,9.255479452054795,M,ice_cream,happy,1
S057,child,9.255479452054795,M,ice_cream,sad,0
S058,child,7.502739726027397,F,better_friend,happy,0
S058,child,7.502739726027397,F,better_friend,sad,0
S058,child,7.502739726027397,F,candy,happy,1
S058,child,7.502739726027397,F,candy,sad,1
S058,child,7.502739726027397,F,ice_cream,happy,0
S058,child,7.502739726027397,F,ice_cream,sad,0
S059,child,6.877168949771689,M,better_friend,happy,0
S059,child,6.877168949771689,M,better_friend,sad,1
S059,child,6.877168949771689,M,candy,happy,0
S059,child,6.877168949771689,M,candy,sad,1
S059,child,6.877168949771689,M,ice_cream,happy,0
S059,child,6.877168949771689,M,ice_cream,sad,1
