ID,population,age,sex,relationship,emotion,chose_emotion
S020,child,8.755479452054795,F,friend,sad,1
S021,child,7.465981735159818,M,bestfriend,happy,1
S021,child,7.465981735159818,M,bestfriend,sad,0
S021,child,7.465981735159818,M,friend,happy,0
S021,child,7.465981735159818,M,friend,sad,1
S022,child,9.399086757990869,M,bestfriend,happy,0
S022,child,9.399086757990869,M,bestfriend,sad,0
S022,child,9.399086757990869,M,friend,happy,1
S022,child,9.399086757990869,M,friend,sad,1
S023,child,8.40730593607306,F,bestfriend,happy,NA
S023,child,8.40730593607306,F,bestfriend,sad,1
S023,child,8.40730593607306,F,friend,happy,NA
S023,child,8.40730593607306,F,friend,sad,0
S024,child,6.28013698630137,F,bestfriend,happy,1
S024,child,6.28013698630137,F,bestfriend,sad,NA
S024,child,6.28013698630137,F,friend,happy,0
S024,child,6.28013698630137,F,friend,sad,NA
S025,child,9.680365296803652,M,bestfriend,happy,NA
S025,child,9.680365296803652,M,bestfriend,sad,1
S025,child,9.680365296803652,M,friend,happy,NA
S025,child,9.680365296803652,M,friend,sad,1
S026,child,9.707762557077626,F,bestfriend,happy,1
S026,child,9.707762557077626,F,bestfriend,sad,1
S026,child,9.707762557077626,F,friend,happy,0
S026,child,9.707762557077626,F,friend,sad,0
S027,child,6.541095890410959,M,bestfriend,happy,0
S027,child,6.541095890410959,M,bestfriend,sad,0
S027,child,6.541095890410959,M,friend,happy,0
S027,child,6.541095890410959,M,friend,sad,0
S028,child,6.191324200913242,M,bestfriend,happy,0
S028,child,6.191324200913242,M,bestfriend,sad,1
S028,child,6.191324200913242,M,friend,happy,0
S028,child,6.191324200913242,M,friend,sad,0
S029,child,7.502739726027397,F,bestfriend,happy,1
S029,child,7.502739726027397,F,bestfriend,sad,1
S029,child,7.502739726027397,F,friend,happy,1
S029,child,7.502739726027397,F,friend,sad,0
S030,child,6.21324200913242,F,bestfriend,happy,0
S030,child,6.21324200913242,F,bestfriend,sad,0
S030,child,6.21324200913242,F,friend,happy,0
S030,child,6.21324200913242,F,friend,sad,0
S031,child,6.368949771689498,F,bestfriend,happy,1
S031,child,6.368949771689498,F,bestfriend,sad,0
S031,child,6.368949771689498,F,friend,happy,1
S031,child,6.368949771689498,F,friend,sad,1
S032,child,9.094292237442923,F,bestfriend,happy,0
S032,child,9.094292237442923,F,bestfriend,sad,1
S032,child,9.094292237442923,F,friend,happy,1
S032,child,9.094292237442923,F,friend,sad,1
S033,child,7.465981735159818,F,bestfriend,happy,0
S033,child,7.465981735159818,F,bestfriend,sad,0
S033,child,7.465981735159818,F,friend,happy,0
S033,child,7.465981735159818,F,friend,sad,1
S034,child,7.657305936073059,M,bestfriend,happy,1
S034,child,7.657305936073059,M,bestfriend,sad,1
S034,child,7.657305936073059,M,friend,happy,0
S034,child,7.657305936073059,M,friend,sad,0
S035,child,8.024657534246575,M,bestfriend,happy,0
S035,child,8.024657534246575,M,bestfriend,sad,1
S035,child,8.024657534246575,M,friend,happy,1
S035,child,8.024657534246575,M,friend,sad,0
S036,child,7,F,bestfriend,happy,0
S036,child,7,F,bestfriend,sad,1
S036,child,7,F,friend,happy,1
S036,child,7,F,friend,sad,1
S037,child,8.93310502283105,M,bestfriend,happy,0
S037,child,8.93310502283105,M,bestfriend,sad,1
S037,child,8.93310502283105,M,friend,happy,1
S037,child,8.93310502283105,M,friend,sad,0
S038,child,8.344292237442923,F,bestfriend,happy,0
S038,child,8.344292237442923,F,bestfriend,sad,1
S038,child,8.344292237442923,F,friend,happy,0
S038,child,8.344292237442923,F,friend,sad,1
S039,child,9.568493150684931,M,bestfriend,happy,0
S039,child,9.568493150684931,M,bestfriend,sad,1
S039,child,9.568493150684931,M,friend,happy,0
S039,child,9.568493150684931,M,friend,sad,0
S040,child,8.412785388127855,F,bestfriend,happy,1
S040,child,8.412785388127855,F,bestfriend,sad,0
S040,child,8.412785388127855,F,friend,happy,0
S040,child,8.412785388127855,F,friend,sad,0
S041,child,9.196803652968036,F,bestfriend,happy,0
S041,child,9.196803652968036,F,bestfriend,sad,0
S041,child,9.196803652968036,F,friend,happy,0
S041,child,9.196803652968036,F,friend,sad,0
S042,child,8.415525114155251,M,bestfriend,happy,1
S042,child,8.415525114155251,M,bestfriend,sad,1
S042,child,8.415525114155251,M,friend,happy,1
S042,child,8.415525114155251,M,friend,sad,1
S043,child,8.493378995433789,M,bestfriend,happy,1
S043,child,8.493378995433789,M,bestfriend,sad,1
