study,emotion,age_yr,response,lower.HPD,upper.HPD,measure,relationship
study4B,sad,6,0.45899807142896876,0.25064620979726937,0.6746534430211237,NA,mom
study4B,happy,7,0.1702963637668436,0.024890941297518697,0.3620409359553296,NA,friendmom
study4B,sad,7,0.2736865211679579,0.07340671614733603,0.49544622122867227,NA,friendmom
study4B,happy,7,0.2228591764148958,0.05964840498740643,0.4479497883719534,NA,mom
study4B,sad,7,0.22229040508468842,0.0419999827914518,0.43239542076147264,NA,mom
study4B,happy,8,0.43120568006745413,0.22057176596969644,0.6376388347863688,NA,friendmom
study4B,sad,8,0.3426650860350749,0.16340562824019672,0.5546762326565041,NA,friendmom
study4B,happy,8,0.3891319389363195,0.1831118693389411,0.5903539290899459,NA,mom
study4B,sad,8,0.6594360793350853,0.4533924517750181,0.8483781699583818,NA,mom
study4B,happy,9,0.6396351819304362,0.3900257072577954,0.8535344199660655,NA,friendmom
study4B,sad,9,0.23734975669447989,0.0632316769599492,0.4522568548270536,NA,friendmom
study4B,happy,9,0.5831335302954952,0.32615886405584227,0.808580741904458,NA,mom
study4B,sad,9,0.6030211202201687,0.3636158907947254,0.8317982709682453,NA,mom
